Operado,Cash_Total_USD,Total_Safe_Valuation,Total_Growth_Valuation,Patrimonio_USD
2024-08-07,9.423533936521839,0.0,0.0,9.423533936521839
2024-08-08,9.421849581358524,0.0,0.0,9.421849581358524
2024-08-09,9.319620570690853,0.0,0.0,9.319620570690853
2024-08-12,9.306683205909934,0.0,0.012937364780918552,9.319620570690853
2024-09-02,9.306683205909934,0.0,0.012937364780918552,9.319620570690853
2024-09-05,9.547377710843962,0.0,0.012937364780918552,9.560315075624882
2024-09-10,9.67296763786645,0.0,0.0,9.67296763786645
2024-09-13,9.312736544149146,0.0,0.0,9.312736544149146
2024-09-25,9.294769280836855,0.0,0.0,9.294769280836855
2024-10-06,9.784483376289112,0.0,0.0,9.784483376289112
2024-10-10,9.33155988598568,0.0,0.0,9.33155988598568
2024-10-14,9.613844016871408,0.0,0.0,9.613844016871408
2024-10-23,9.413730177736817,0.0,0.0,9.413730177736817
2024-10-24,210.631728131972,0.0,0.0,210.631728131972
2024-10-29,210.63354224468688,0.0,0.0,210.63354224468688
2024-10-31,10.432314371203972,0.0,0.0,10.432314371203972
2024-11-06,10.612270379251328,0.0,0.0,10.612270379251328
2024-11-08,10.484108622851426,0.0,0.0,10.484108622851426
2024-11-11,10.393430530609432,0.0,0.0,10.393430530609432
2024-11-19,205.11699734933543,0.0,0.0,205.11699734933543
2024-11-21,205.29570391222558,0.0,0.0,205.29570391222558
2024-11-22,205.29580099650877,0.0,0.0,205.29580099650877
2024-11-25,205.29766606720506,0.0,0.0,205.29766606720506
2024-11-27,209.2224427214174,0.0,0.0,209.2224427214174
2024-11-28,209.7860185688146,0.0,0.0,209.7860185688146
2024-11-29,910.2216259360416,0.0,0.0,910.2216259360416
2024-12-02,382.3445031858066,0.0,0.0,382.3445031858066
2024-12-06,382.91643145366226,0.0,0.0,382.91643145366226
2024-12-09,382.2386844477757,0.0,0.0,382.2386844477757
2024-12-13,382.2386844477757,0.0,0.0,382.2386844477757
2024-12-17,382.2386844477757,0.0,0.0,382.2386844477757
2024-12-19,383.165916026803,0.0,0.0,383.165916026803
2024-12-22,382.8067112476548,0.0,0.0,382.8067112476548
2024-12-23,382.3809075968386,0.0,0.0,382.3809075968386
2024-12-30,382.236774162299,0.0,0.0,382.236774162299
2025-01-08,382.23676959103267,0.0,0.0,382.23676959103267
2025-01-09,382.23676959103267,0.0,0.0,382.23676959103267
2025-01-10,266.2867695910327,0.0,0.0,266.2867695910327
2025-01-13,217.81827074625073,0.0,0.0,217.81827074625073
