,AL30,SNSBO,LK01Q,AE38,GD30,BMACTAA,GD35,Cash_MEP,Cash_ARS,Cash_CCL,ECOG,BIOX,FIPL,ERIC,PAAS,DGCU2,TECO2,CVH,ALGIIIA,TSLA,BPAT,YPFD,EDN,LAR,SH,UBT,SPY,VIST,KO,GBAN,METR,COIN,CEPU,AAPL,AUSO,BULMAAA,XLP,SAMI,SHY,HMY,GOOGL,PSQ,ASML,LLY,ARKK,BULL-IA,PAMP,SUPV,GGAL,ARGT,META,TRAN,VALE,TLT,CRES,SAN,ALUA,INTC,ADBE,MIRG,MELI,BBD,RIGAHOR,UNH,MSFT,VARIAS,BYMA,TXAR
2023-01-30,0.0,,,0.0,0.0,0.0,0.0,0.0,0.17770148204931516,0.0,,,0.0,0.0,24.91121881383522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.040738373785623,0.0,0.0,0.0,0.0,19.58998265965342,0.0,6.829805374145508,0.0,0.0,0.0,0.0,0.0,0.0,10.688225582812823,0.0,9.499805068223218,0.0,55.44766845703125,9.828845443613304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84888744354248,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-31,0.0,,,0.0,0.0,0.0,0.0,0.0,0.18003193249843227,0.0,,,0.0,0.0,25.215381869425908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19775734179433,0.0,0.0,0.0,0.0,21.532844500360135,0.0,6.810402870178223,0.0,0.0,0.0,0.0,0.0,0.0,11.222769818084089,0.0,10.078972181180662,0.0,56.16781646728516,10.103265239975885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.143848419189453,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,,,0.0,0.0,0.0,0.0,0.0,0.00045220622864897673,0.0,,,0.0,0.0,12.9574817814933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5590630003084747,0.0,0.0,0.0,0.0,9.284359131949303,0.0,3.589528799057007,0.0,0.0,0.0,0.0,0.0,0.0,5.637881293683507,0.0,5.503319217878559,0.0,31.904830627441406,5.432753809366664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.457216739654541,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0004508327966762734,0.0,,,0.0,0.0,12.582849569504516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5148034137504744,0.0,0.0,0.0,0.0,9.091325115474977,0.0,3.502215623855591,0.0,0.0,0.0,0.0,0.0,0.0,5.53960798915971,0.0,5.486604643662258,0.0,39.33303588867187,5.383227512550923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.578657150268555,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0004466255830218097,0.0,,,0.0,0.0,11.644816160073786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435724915055156,0.0,0.0,0.0,0.0,8.46634620815718,0.0,3.337291717529297,0.0,0.0,0.0,0.0,0.0,0.0,5.309261618171762,0.0,5.152308616755724,0.0,38.8663005065918,5.0876075040913955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38172721862793,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-04,0.0,,,0.0,0.0,0.0,0.0,0.0,83.74274344217233,0.0,,,0.0,0.0,11.644816160073786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435724915055156,0.0,0.0,0.0,0.0,8.46634620815718,0.0,3.337291717529297,0.0,0.0,0.0,0.0,0.0,0.0,5.309261618171762,0.0,5.152308616755724,0.0,38.8663005065918,5.0876075040913955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38172721862793,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-05,0.0,,,0.0,0.0,0.0,0.0,0.0,83.74274344217233,0.0,,,0.0,0.0,11.644816160073786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.435724915055156,0.0,0.0,0.0,0.0,8.46634620815718,0.0,3.337291717529297,0.0,0.0,0.0,0.0,0.0,0.0,5.309261618171762,0.0,5.152308616755724,0.0,38.8663005065918,5.0876075040913955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38172721862793,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-06,0.0,,,0.0,0.0,0.0,0.0,0.0,86.10768972806125,0.0,,,0.0,0.0,11.850262336264782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492503353794885,0.0,0.0,0.0,0.0,8.78293750992886,0.0,3.2887842655181885,0.0,0.0,0.0,0.0,0.0,0.0,5.492493138749243,0.0,5.315278968084871,0.0,38.76836288452148,5.22567801099696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.365316390991211,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-07,0.0,,,0.0,0.0,0.0,0.0,0.0,84.93240645162334,0.0,,,0.0,0.0,11.69701138089653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565079429254715,0.0,0.0,0.0,0.0,8.688538841127247,0.0,3.444007158279419,0.0,0.0,0.0,0.0,0.0,0.0,5.443572143357619,0.0,5.340350583048266,0.0,39.926871643066406,5.2539002842805225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.299673080444336,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-08,0.0,,,0.0,0.0,0.0,0.0,0.0,84.73723445540878,0.0,,,0.0,0.0,11.65883377931419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.565937419836723,0.0,0.0,0.0,0.0,9.049888373766331,0.0,3.3760972023010254,0.0,0.0,0.0,0.0,0.0,0.0,5.5643820525342305,0.0,5.419744060583584,0.0,38.22035888671875,5.330110156792157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51301383972168,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-09,0.0,,,0.0,0.0,0.0,0.0,0.0,83.50285884449315,0.0,,,0.0,0.0,11.39715458261418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535767934282357,0.0,0.0,0.0,0.0,9.005735295790341,0.0,3.2596797943115234,0.0,0.0,0.0,0.0,0.0,0.0,5.333020808757316,0.0,5.306920103696627,0.0,37.072273864746094,5.361212726706508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348904132843018,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-10,0.0,,,0.0,0.0,0.0,0.0,0.0,10.58259611538812,0.0,,,0.0,0.0,16.939593199046946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.580399303362242,0.0,0.0,0.0,0.0,19.344413878722854,0.0,16.055864095687866,0.0,0.0,0.0,0.0,0.0,0.0,18.886257183310782,0.0,14.929582023620608,0.0,22.463220825195314,16.106732759907736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.072396516799927,0.0,0.0,0.0,0.0,0.0,0.0
